[2025-05-27 14:36:06,675 ] 19 root -INFO -Initiate the data ingestion
[2025-05-27 14:36:22,364 ] 72 root -INFO -Performed Train test split
[2025-05-27 14:36:22,365 ] 78 root -INFO -Exporting train and test filepath
[2025-05-27 14:36:22,536 ] 88 root -INFO -Exported Train and test file path
[2025-05-27 14:36:22,537 ] 21 root -INFO -Data initiation Completed
[2025-05-27 14:36:22,553 ] 28 root -INFO -initiate the data validation config
[2025-05-27 14:36:22,631 ] 103 root -INFO -Read train and test data successfully
[2025-05-27 14:36:22,631 ] 43 root -INFO -Required no of columns:2
[2025-05-27 14:36:22,631 ] 44 root -INFO -Datafram has:31
[2025-05-27 14:36:22,631 ] 43 root -INFO -Required no of columns:2
[2025-05-27 14:36:22,632 ] 44 root -INFO -Datafram has:31
[2025-05-27 14:36:22,795 ] 32 root -INFO -Data validation completed
